Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region,Year,Month
1.0238076950656358,1.3154887687401213,1.375901242130936,1.2227232816029898,1.90292157601889,2.111623624297629,1.2138098628327,-1.1926637541659058,-1.7518528954518746,Central Business District and Surrounding,2019,4
0.01899069274211387,-0.1819357104664454,-0.02365928890255869,0.08118516740792495,1.344572207365059,1.4553525341960363,0.8785507662296335,-0.6586013521180197,-0.6904171291701164,East,2019,4
-0.29885950458455723,-0.35384979143738704,-0.27656611810218346,-0.3516281843053253,0.3858737350381563,1.1834612511689682,0.022807830390591366,1.1549153969642303,1.0285257738541989,Islands,2019,4
0.10494774755972845,0.4269259871397642,0.35436442259785356,0.3053241543529083,0.3992572442725128,1.4807062089970628,-0.6349780518489592,-0.09825879330587088,-0.05449265643269782,North,2019,4
-0.19278097107339953,0.026255983571463658,0.07266817170327236,0.1973151403796259,0.8709878567075813,0.8135887969967766,0.5811320230150778,-0.6105268165212173,-0.20269873042840295,North-East,2019,4
0.8771589907611264,0.4503264493911774,0.5887258273441319,0.8736014518273233,0.5961886496112465,-0.9728253132926709,0.7600180682405056,1.2923947358055563,1.024136982792898,South-East,2019,4
0.17730685356367096,0.17423223345650837,0.15438555507566495,0.1781024610771342,1.127638223270014,0.2165026731087856,1.4410894040733992,0.4540301681045341,1.0194105917959282,South-West,2019,4
0.21611069543302847,0.1934499286810444,0.2573656886056688,0.2852629290091038,0.6869461829457215,1.3130384910317559,0.18151764032616038,-1.0436350490392028,-1.2556774428038235,West,2019,4
-0.16933617670884749,-0.011091753764646812,-0.13664680862582562,-0.287510943891639,1.0795336588606685,0.8135887969967766,0.8522862264750939,-0.5973060403617447,0.1067599990509251,Central,2019,5
-0.030432353922829086,-0.04562783895444037,-0.08992519007517656,-0.21712783126189755,2.039191939066025,1.4885455708579538,1.4494746910391136,-1.2979235054361895,-1.5215302407772422,Central Business District and Surrounding,2019,5
-0.8242910071729626,-1.0195337741672132,-1.0311156008517983,-1.0614169726331704,2.077772913498734,1.3204216255530847,1.5099849744414169,-0.5472679122850093,-0.3433360470935059,East,2019,5
-0.45016579245434696,-0.2052242502083482,-0.3336661236282609,-0.4825244838653934,0.9252097611298346,1.1604577719854405,0.46743480481926014,-1.1681423411028966,-0.8665059980517634,Islands,2019,5
-0.5547409557176839,-0.5057428241142817,-0.5506536374576438,-0.5826498269572511,0.9001842628026872,1.3510512869843594,-0.1791937602289991,-0.12389019783727065,0.5050337795341971,North,2019,5
-0.5007630915975697,-0.021106335535758802,-0.23733067507394556,-0.3647693526193894,0.24594628313244785,1.0134032907205204,-0.16981667593725935,-0.6811491907673491,0.25279890455873777,North-East,2019,5
-0.5791392994049481,-0.515806996186044,-0.6466365117567919,-0.7225796812502947,1.5715627365092415,-0.9179497280677368,2.3010467851317165,0.933459028159229,1.2120164160450375,South-East,2019,5
-0.3073028310178921,-0.3602056606127649,-0.4519286708469225,-0.5557599120171435,1.6175818341047667,-0.2287019754796297,1.4774256314420577,0.48462204026280603,2.030749073393059,South-West,2019,5
0.41029694253538834,0.4645135215268518,0.4232278712547432,0.33416342500764457,0.9681980137344585,0.6019313614630365,0.4540854683757288,-0.8636628436015139,-0.7087854322932964,West,2019,5
0.18873272474528693,0.03506655735096659,0.18584071533099034,0.18787410623684517,0.10435743730328079,-0.36691852273987247,0.39976145190709084,-0.08670859062732995,-0.02852348016126615,Central,2019,6
-0.20337443590198492,-0.10890847045810886,-0.10711007091367494,-0.1544903652412184,1.2310769427929678,0.5569990079098365,1.691716206830189,-1.3316448523408975,-1.825650908141901,Central Business District and Surrounding,2019,6
-0.009305120456913193,0.02113126488335619,0.006406218371719424,-0.010623466765426779,0.9351272716100965,-0.08624996063233542,1.0265872575224635,-0.2746967862792414,-0.7007701729327812,East,2019,6
-0.1307579422225771,-0.34670456563182683,-0.17481875978989447,-0.11676642159519678,-0.09552093715466209,-0.16976792856091796,0.31263658975992725,-1.0348969987701546,-1.3579633990797775,Islands,2019,6
-0.11783135281583579,0.02558282615660175,-0.048972344808817445,-0.16601721776441675,0.05015156588255249,-0.13011520510931032,-0.5388099990033473,-0.23148001097193083,-0.5504259693871698,North,2019,6
0.7585805273335089,1.1600999787578277,1.525751819841147,1.3936246381533393,-0.3581645689859356,-0.08277003834214595,-0.2729646758188746,-0.425837592698103,-0.38702792664474167,North-East,2019,6
0.560380215524214,0.9326905900719142,0.9408534598683409,0.8552426692973306,0.3561577821145613,-1.8853661829473398,1.0292788272285656,1.7271407151626201,1.6257388649495172,South-East,2019,6
0.3201477681200474,0.07878434940390124,0.17766262773137853,0.20329241817137111,0.7828425001467381,-1.0467065918110532,1.3159312916186998,0.25688998663108165,0.8762685067072635,South-West,2019,6
